序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000004,国华网安,2025-01-20,普通席位卖出，成功率42.05%,11.97,-10.0,-3474891.0,4173939.0,7648830.0,11822769.0,53374230.0,-6.510428347163,22.150706436421,3.5308,1511668473.21,日跌幅偏离值达到7%的前5只证券,-4.34419382,-9.77443609,-13.03258145,14.45279866
2,000016,深康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日涨幅偏离值达到7%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
3,000016,深康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日振幅值达到15%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
4,000016,深康佳A,2025-01-15,西藏自治区资金买入，成功率31.64%,6.19,1.9769,-143729101.25,178157253.33,321886354.58,500043607.91,2707128176.0,-5.309283192581,18.471368010689,27.0645,10783515906.88,日振幅值达到15%的前5只证券,10.01615509,2.10016155,-17.28594507,-21.00161551
5,000063,中兴通讯,2025-01-09,主力做T，成功率25.97%,38.37,10.0057,-903406568.69,1500667874.95,2404074443.64,3904742318.59,14480336477.0,-6.238850665694,26.965825861796,9.7211,154530329252.7,日涨幅偏离值达到7%的前5只证券,-1.72009382,1.64190774,4.14386239,7.11493354
6,000421,南京公用,2025-01-15,主力做T，成功率35.85%,7.35,-6.25,-13886459.75,61233815.78,75120275.53,136354091.31,1013727711.0,-1.369841191014,13.450760971651,21.7724,4220828889.9,日振幅值达到15%的前5只证券,-3.26530612,-11.42857143,-13.60544218,-15.37414966
7,000506,*ST中润,2025-01-13,1家机构买入，成功率18.04%,4.05,4.1131,-3930588.34,38268217.02,42198805.36,80467022.38,416859417.0,-0.942905012987,19.303155715923,4.9153,3761117392.05,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.24691358,4.69135802,-0.49382716,-3.45679012
8,000533,顺钠股份,2025-01-23,西藏自治区资金买入，成功率10.09%,7.08,7.2727,48715111.23,251323636.07,202608524.84,453932160.91,3325244858.0,1.465008241808,13.651089778183,27.0522,4849108992.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-6.07344633,-15.39548023,-12.71186441,-13.84180791
9,000533,顺钠股份,2025-01-14,主力做T，成功率22.32%,6.42,2.8846,-13422949.7,85843678.05,99266627.75,185110305.8,1287181553.0,-1.042817127756,14.381056453813,30.995,4397073408.0,日振幅值达到15%的前5只证券,-8.25545171,-6.69781931,-0.31152648,-5.60747664
10,000533,顺钠股份,2025-01-13,西藏自治区资金卖出，成功率31.17%,6.24,-9.9567,-40776541.23,239250108.49,280026649.72,519276758.21,3765445364.0,-1.08291416521,13.790580077847,4.3999,4273790976.0,连续三个交易日内，跌幅偏离值累计达到20%的证券,2.88461538,-5.60897436,-4.80769231,-4.00641026
11,000533,顺钠股份,2025-01-09,2家机构卖出，成功率32.50%,7.7,-6.0976,-68601385.94,153520050.26,222121436.2,375641486.46,2368876148.0,-2.895946501801,15.857371301457,41.4723,5273748480.0,日换手率达到20%的前5只证券,-10.0,-18.96103896,-22.20779221,-8.05194805
12,000533,顺钠股份,2025-01-09,2家机构卖出，成功率32.50%,7.7,-6.0976,-68601385.94,153520050.26,222121436.2,375641486.46,2368876148.0,-2.895946501801,15.857371301457,41.4723,5273748480.0,日振幅值达到15%的前5只证券,-10.0,-18.96103896,-22.20779221,-8.05194805
13,000533,顺钠股份,2025-01-08,主力做T，成功率10.70%,8.2,10.0671,0.0,9338731882.57,9338731882.57,18677463765.14,9338731882.57,0.0,200.0,36.3917,5616199680.0,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,-6.09756098,-15.48780488,-28.17073171,-19.51219512
14,000533,顺钠股份,2025-01-08,2家机构买入，成功率40.02%,8.2,10.0671,-75363465.4,166320229.46,241683694.86,408003924.32,1921887165.0,-3.921326224165,21.229338108411,36.3917,5616199680.0,日换手率达到20%的前5只证券,-6.09756098,-15.48780488,-28.17073171,-19.51219512
15,000533,顺钠股份,2025-01-07,买一主买，成功率44.71%,7.45,10.0443,98270930.45,201544405.45,103273475.0,304817880.45,1562824842.0,6.288032273933,19.504289428873,33.366,5102522880.0,日振幅值达到15%的前5只证券,10.06711409,3.3557047,-13.82550336,-14.09395973
16,000533,顺钠股份,2025-01-07,买一主买，成功率44.71%,7.45,10.0443,98270930.45,201544405.45,103273475.0,304817880.45,1562824842.0,6.288032273933,19.504289428873,33.366,5102522880.0,日换手率达到20%的前5只证券,10.06711409,3.3557047,-13.82550336,-14.09395973
17,000533,顺钠股份,2025-01-06,主力做T，成功率19.49%,6.77,-7.7657,-76656946.31,141506503.41,218163449.72,359669953.13,2262480889.0,-3.388180942553,15.897148783828,42.9557,4636789248.0,日振幅值达到15%的前5只证券,10.04431315,21.1225997,-7.82865583,-12.25997046
18,000533,顺钠股份,2025-01-06,主力做T，成功率19.49%,6.77,-7.7657,-76656946.31,141506503.41,218163449.72,359669953.13,2262480889.0,-3.388180942553,15.897148783828,42.9557,4636789248.0,日换手率达到20%的前5只证券,10.04431315,21.1225997,-7.82865583,-12.25997046
19,000533,顺钠股份,2025-01-03,1家机构买入，成功率32.32%,7.34,10.045,-169957.920000002,131517020.14,131686978.06,263203998.2,1713402308.0,-0.009919323629,15.361482646024,35.0546,5027183616.0,日涨幅偏离值达到7%的前5只证券,-7.76566757,1.4986376,-5.58583106,-21.79836512
20,000533,顺钠股份,2025-01-02,普通席位买入，成功率37.83%,6.67,10.066,59256622.73,150874224.26,91617601.53,242491825.79,1613299253.0,3.673008750225,15.030802582911,29.259,4568299008.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.04497751,1.49925037,15.44227886,-10.19490255
21,000564,供销大集,2025-01-03,主力做T，成功率12.83%,3.18,-9.915,-33928261.52,188923667.84,222851929.36,411775597.2,2383219967.0,-1.423631137276,17.278119640729,4.9859,46793797727.76,日跌幅偏离值达到7%的前5只证券,-9.43396226,-6.91823899,-10.37735849,-10.6918239
